Carimbo de data/hora,Qual é o seu perfil de estudante?,O que te motivou a estudar Inteligência Artificial? (até 15 linhas)
,Sintético,"Eu já fazia uns cursos básicos de programação na internet e me apaixonei pela área de dados. Quando passei em IA, senti que estava no caminho certo. Moro com meus pais e dedico a maior parte do tempo aos estudos. O que me motiva é a complexidade dos problemas que a gente pode resolver. Por exemplo, como usar dados pra entender o clima na Amazônia? Isso é muito instigante. Não quero apenas usar softwares prontos, quero entender a matemática dos algoritmos. O laboratório de inteligência de dados é onde pretendo me aprofundar e colaborar com os projetos de pesquisa."
,Sintético,"Fui muito influenciada pelo meu irmão, que já trabalha com computação. Ele me mostrou como a IA está presente em quase tudo hoje. Saí do ensino médio ano passado e já ingressei na UFPA. Tenho 18 anos e moro com minha família. Minha motivação é ser uma presença feminina forte nessa área, que ainda é muito masculina. Quero me especializar em processamento de linguagem natural pra pensar em formas de valorizar nossa cultura e as línguas da região através da tecnologia. A IA tem um papel social importante que a gente precisa explorar mais aqui no Norte."
,Sintético,"Minha motivação foi uma mistura de curiosidade técnica com interesse por questões teóricas. Percebi que IA tem muito a ver com a forma como processamos conhecimento. É quase uma ciência cognitiva aplicada. Tenho 21 anos, moro em um pensionato e estudo bastante. Gosto da estrutura das redes neurais porque lembra o funcionamento biológico. Quero usar o que aprender na universidade pra entender mais sobre a ética nos algoritmos. Fala-se muito em viés hoje em dia e eu quero garantir que as tecnologias que a gente desenvolve aqui não repliquem preconceitos."
,Sintético,"No início eu entrei mais por incentivo da minha família, que viu o potencial da carreira. Eu não conhecia muito, saí do colégio sem uma direção clara. Mas depois que comecei a ver o que é possível fazer no laboratório, mudei totalmente de visão. Tenho 17 anos e sou um dos mais novos. O que me motiva agora é ver que posso construir ferramentas que parecem futuristas, como reconhecimento de padrões em imagens médicas ou agrícolas. Moro com meus pais e, apesar da distância, o sonho de ser um cientista de dados agora é algo que eu realmente quero pra mim."
,Sintético,"Sempre tive interesse por questões ambientais e sustentabilidade. Quando vi o curso de IA na UFPA, achei que teria tudo a ver com o que eu buscava. Tenho 22 anos e já tentei outra graduação antes, mas me encontrei aqui. Moro com amigos e minha motivação é aplicar IA no monitoramento da nossa floresta. Temos muita informação disponível, mas precisamos de braço técnico pra transformar isso em preservação. O laboratório pra mim é um espaço fundamental pra gente desenvolver soluções que sejam nossas, voltadas para a realidade da Amazônia."
,Sintético,"Entrei em IA porque gosto de resolver problemas complexos. Saí do ensino médio com facilidade em exatas, então a escolha foi natural. Moro com meus pais e meu foco é total na graduação. O que me motiva é o fato da área nunca ficar estagnada; sempre tem um modelo novo ou uma técnica de otimização saindo. Quero me aprofundar em Deep Learning pra ver como isso pode ser usado pra melhorar diagnósticos em hospitais públicos aqui de Belém. A tecnologia pode ajudar muito a saúde se for bem direcionada, e eu quero fazer parte disso."
,Sintético,"Eu trabalho desde cedo pra ajudar em casa e agora consegui entrar na universidade. Minha motivação em cursar IA é melhorar minha realidade financeira e ter uma profissão de destaque. Quero me tornar especialista em análise de dados pra grandes empresas. Saí do colégio tem dois anos e estudei por conta própria. Acho a área de IA fantástica porque os resultados são muito práticos. Quero aproveitar as oportunidades do laboratório pra construir um bom portfólio e já sair da UFPA com uma boa colocação no mercado, de preferência trabalhando com tecnologia de ponta."
,Sintético,"Eu vim de uma escola técnica e já conhecia um pouco de programação, mas queria ir além do desenvolvimento comum. Quero entender a inteligência por trás dos sistemas. Moro em Castanhal e faço o trajeto todo dia pra estudar em Belém. Tenho 20 anos e o que me motiva é a versatilidade da área. Posso trabalhar em diversos setores, do financeiro ao agronegócio. O laboratório de dados da UFPA é uma referência e eu quero aprender a trabalhar com grandes bases de dados pra entender comportamentos complexos, algo que vai ser muito útil na minha carreira."
,Sintético,"Sempre fui muito curioso com tecnologia. Escolhi IA porque sinto que é o campo onde as maiores inovações estão acontecendo hoje. Tenho 19 anos, moro com meus pais e dedico meu tempo aos estudos. O que me motiva é o interesse científico de entender como o aprendizado de máquina funciona em comparação com o aprendizado humano. Quero pesquisar sobre algoritmos mais eficientes e sustentáveis. O laboratório é o ambiente ideal pra eu testar essas ideias e ver como a pesquisa acadêmica pode gerar frutos práticos para a sociedade."
,Sintético,"Fui influenciado pelo meu pai, que trabalha com informática, mas ganhei interesse próprio quando vi as aplicações de IA no entretenimento e na música. Sou músico amador e quero entender como os algoritmos de recomendação e geração de som funcionam. Saí do ensino médio há pouco tempo e moro com minha família. Minha motivação é entender essa engenharia por trás das plataformas digitais. Também me interesso por análise de dados em redes sociais. A IA abre muitas portas e eu quero aproveitar essa formação na Federal pra explorar esses novos caminhos."
,Sintético,"Eu sou uma pessoa muito focada em organização e processos. Quando descobri a Ciência de Dados, percebi que era o que eu queria fazer. Tenho 21 anos, moro sozinha e faço alguns trabalhos como freelancer. O que me motiva na IA é a capacidade de prever cenários e evitar desperdícios. Quero usar o conhecimento do curso pra ajudar pequenos negócios aqui da região a se organizarem melhor através dos dados. É uma motivação que une a técnica com o desejo de ajudar o desenvolvimento local, e eu vejo na IA a ferramenta certa pra isso."
,Sintético,"Eu vim de Soure, no Marajó, e me mudar para Belém pra estudar IA foi uma mudança e tanto na minha vida. Saí do ensino médio lá e vim buscar essa oportunidade. Moro em uma casa de estudantes. Minha motivação é levar inovação tecnológica pra minha região de origem. Quero desenvolver sistemas que ajudem na logística do transporte fluvial, que é vital pra nós. O laboratório de inteligência de dados é a chance que eu tenho de aprender algo de alto nível pra aplicar em problemas reais. A IA pra mim é uma forma de modernizar os serviços no interior."
,Sintético,"Sempre gostei de entender a lógica dos softwares e vi que o curso de IA na UFPA ia muito além do básico. Tenho 19 anos, moro com meus pais e venho de escola particular. Minha motivação é a paixão por inovação e tecnologia. Quero criar algo novo, talvez uma startup que use inteligência de dados pra segurança ou planejamento urbano. O laboratório é o lugar certo pra fazer contatos com quem tem os mesmos objetivos. Não estou aqui apenas pelo título, mas pra aprender a desenvolver tecnologias que realmente impactem o mercado e a vida das pessoas."
,Sintético,"Minha motivação principal é a educação. Eu tive bons professores, mas vi muitos colegas desistirem por falta de um suporte mais personalizado. Acredito que a IA pode criar sistemas de ensino que se adaptem ao ritmo de cada aluno. Tenho 20 anos, moro com minha mãe e foco muito nos estudos. Saí do ensino médio querendo atuar em algo que tivesse impacto social. No laboratório, quero aprender a processar dados educacionais pra criar ferramentas que ajudem no aprendizado, tornando o ensino mais inclusivo e eficiente para todos."
,Sintético,"Entrei no curso porque pretendo seguir carreira acadêmica e a área de IA é riquíssima em pesquisa. Tenho 18 anos, moro com meus pais e sempre fui muito dedicado aos estudos. O que me motiva é a descoberta intelectual. Entrar no laboratório, analisar os dados e conseguir identificar padrões que não eram óbvios é algo que me fascina. Meu plano é seguir para o mestrado e doutorado, colaborando com as pesquisas que a UFPA já desenvolve. A inteligência de dados é um campo vasto e eu quero contribuir com novos conhecimentos na área."
,Sintético,"Saí do ensino médio e precisei trabalhar logo em seguida. Só agora, com 22 anos, consegui ingressar na universidade. Escolhi IA por ser uma área estratégica e com muita demanda profissional. Moro com minha namorada e dividimos as despesas. Minha motivação é adquirir o máximo de conhecimento prático possível, como programação avançada e modelos estatísticos. O laboratório pra mim é o espaço pra ganhar experiência real. Quero me tornar um analista de dados competente e conquistar meu espaço no mercado de tecnologia, crescendo profissionalmente."
,Sintético,"Eu tenho um interesse muito forte por biologia, mas escolhi IA porque as duas áreas estão cada vez mais ligadas. A Bioinformática usa inteligência de dados pra resolver questões complexas e é onde quero atuar. Tenho 19 anos, moro com meus pais e sou bem dedicada aos estudos. O que me motiva é usar algoritmos pra entender melhor a biodiversidade da nossa região. A Amazônia é uma fonte imensa de dados biológicos e a IA é a ferramenta que pode nos ajudar a entender isso melhor. Estudar na UFPA me permite unir a tecnologia com o contexto ambiental local."
,Sintético,"Minha família trabalha com comércio e eu sempre acompanhei as dificuldades de gestão do meu pai. Minha motivação pra cursar IA foi justamente buscar formas de automatizar e otimizar essas decisões de negócio. Tenho 20 anos, moro com eles e ajudo na loja quando posso. Quero aplicar modelos preditivos pra entender as tendências de consumo aqui em Belém, que mudam muito conforme a época do ano. O laboratório de dados é o lugar onde quero aprender a transformar informações de vendas em estratégias inteligentes pra ajudar o comércio local."
,Sintético,Eu tenho uma pequena deficiência motora e os assistentes de voz sempre facilitaram muito meu dia a dia. Minha motivação pra cursar IA na UFPA foi o desejo de aperfeiçoar essas tecnologias de acessibilidade. Tenho 19 anos e meus pais sempre me apoiaram na jornada escolar. Quero trabalhar com Processamento de Linguagem Natural pra que as ferramentas entendam melhor as variações da nossa fala e as necessidades de quem tem limitações físicas. É uma forma de usar a tecnologia para promover a inclusão social e facilitar a vida de muitas pessoas.
,Sintético,"O que me trouxe para o curso foi o desafio técnico. Eu sempre gostei de testar meus limites e Inteligência Artificial pareceu o caminho mais complexo e interessante. Tenho 18 anos, moro com minha família e sou muito focado em resultados. O que me motiva é resolver os problemas lógicos que o curso propõe. Gosto de participar de competições de programação e quero aproveitar o laboratório de dados para me especializar em ferramentas de ponta. Minha meta é ser um profissional de referência na área, dominando as tecnologias que estão moldando o futuro."
,Sintético,"Sempre me interessei por questões sociais e no início achei que a área de exatas não teria espaço para isso. Mas descobri que a IA pode ser usada para o bem social e isso mudou minha perspectiva. Tenho 21 anos, moro com amigos e vim de uma escola comunitária. Minha motivação é usar a ciência de dados para evidenciar desigualdades e ajudar em projetos de urbanização. A IA pode ajudar a prever áreas de risco em Belém, por exemplo. Quero que meu conhecimento técnico sirva para apoiar projetos que melhorem a qualidade de vida nas áreas mais carentes."
,Graduação,"A priori, foi pra passar ao longo da minha vida tendo algo pra estudar, trabalhar e me divertir. Ao longo da minha formação acadêmica busquei alguma área que fugisse do tradicional ao mesmo tempo que pudesse me possibilitar oportunidades de Pesquisa, laborais e, por conseguinte, pudesse me ofertar uma renda da qual eu pudesse realizar algumas metas e sonhos.
Por fim, os motivos menores em si é porque a área é tanto multidisciplinar quanto interdisciplinar, assim, tornando tudo mais interessante e diversificando minhas fontes de conhcimento."
